Id,Artist,Track,Album,Album_type,Uri,Danceability_x,Energy_x,Key,Loudness,Speechiness_x,Acousticness_x,Instrumentalness,Liveness_x,Valence_x,Tempo,Duration_ms,Title_x,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Album Name,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Index,Title_y,Top Genre,Year,Beats Per Minute (BPM),Energy_y,Danceability_y,Loudness (dB),Liveness_y,Valence_y,Length (Duration),Acousticness_y,Speechiness_y,Popularity
0,Gorillaz,feel good inc.,Demon Days,album,spotify:track:0d28khcov6AiegSCpG5TuT,0.818,0.705,6.0,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,222640.0,Gorillaz - Feel Good Inc. (Official Video),Gorillaz,693555221.0,6220896.0,169907.0,True,True,1040234854.0,Demon Days,5/23/2005,GBAYE0500172,"3,548",22.8,"1,407,382,497","357,484","72,604,627",78.0,"1,211,241,854","10,819,604","337,277","152,628,012","1,396,761,942","519,221,456",18.0,"126,129",172,131.0,"1,995,709",90.0,,,,,,0,362,feel good inc.,alternative hip hop,2005,139,71,82,-7,61,77,223,1,18,80
10,Red Hot Chili Peppers,californication,Californication (Deluxe Edition),album,spotify:track:48UPSzbZjgc449aqz8bxox,0.592,0.767,9.0,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,329733.0,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],Red Hot Chili Peppers,1018811259.0,4394471.0,121452.0,True,True,1055738398.0,Californication (Deluxe Version),6/8/1999,USWB19900690,"3,730",22.2,"1,405,353,677","276,377","115,315,508",79.0,"1,518,596,886","7,781,636","52,722","16,291,854","226,008,149","595,631,730",2.0,"49,257",79,268.0,"1,064,069",30.0,"582,410,010","217,517","9,809,319",,,0,1801,californication,alternative rock,1999,96,77,59,-3,13,33,330,0,3,81
15,Red Hot Chili Peppers,snow (hey oh),Stadium Arcadium,album,spotify:track:2aibwv5hGXSgw7Yru8IYTO,0.427,0.9,11.0,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,334667.0,Red Hot Chili Peppers - Snow (Hey Oh) (Official Music Video),Red Hot Chili Peppers,320871237.0,1272266.0,37004.0,True,True,860722316.0,Stadium Arcadium (U.S. Version),5/9/2006,USWB10601591,"4,442",19.8,"1,070,374,387","203,821","38,556,891",74.0,"710,124,074","3,609,104","506,663","44,842,411","835,564,684","31,925,912",22.0,31,31,56.0,"784,912",26.0,"667,293,971","198,268","3,089,649",,,0,271,snow (hey oh),alternative rock,2006,105,90,43,-4,12,60,335,12,5,80
41,Coldplay,viva la vida,Viva La Vida or Death and All His Friends,album,spotify:track:1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5.0,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373.0,Coldplay - Viva La Vida (Official Video),Coldplay,789581468.0,4370461.0,261790.0,True,True,1325575712.0,Meu Pai ï¿½ï¿½ do ,9/21/2005,GBAYE0800265,"2,619",27.5,"2,102,223,775","335,772","128,128,093",80.0,"1,412,127,488","8,707,376","1,619,542","244,469,571","2,264,301,241","1,233,854,544",93.0,"258,525",208,174.0,"4,371,982",94.0,,,,"54,637",,0,311,viva la vida,permanent wave,2008,138,62,49,-7,11,42,242,9,3,78
44,Coldplay,the scientist,A Rush of Blood to the Head,album,spotify:track:75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5.0,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600.0,Coldplay - The Scientist (Official 4K Video),Coldplay,1082588109.0,5532787.0,124357.0,True,True,1465980600.0,The Scientist,8/5/2002,GBAYE0200772,"4,294",20.3,"1,903,413,912","239,330","115,908,926",79.0,"1,864,046,384","10,131,009","136,190","51,824,460","481,408,577","362,415,693",55.0,"37,545",38,217.0,"1,116,370",79.0,,,"1,013,140","150,106",,0,31,the scientist,permanent wave,2002,146,44,56,-7,11,21,310,73,2,84
45,Coldplay,a sky full of stars,Ghost Stories,album,spotify:track:0FDzzruyVECATHXKHFs9eJ,0.545,0.675,6.0,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867.0,Coldplay - A Sky Full Of Stars (Official Video),Coldplay,786404613.0,3741300.0,79974.0,True,True,1021782403.0,Los Nï¿½ï¿½meros 1 De 40 (El Disco De Los ï¿½ï,1/1/2014,GBAYE1400217,"3,421",23.4,"1,490,987,063","203,270","92,755,562",81.0,"395,515,510","2,684,342","971,368","157,727,782","1,583,375,110","8,447,636",12.0,"167,558",136,308.0,"906,029",39.0,,,,,,0,563,a sky full of stars,permanent wave,2014,125,64,55,-7,22,15,268,1,3,78
46,Coldplay,paradise,Mylo Xyloto,album,spotify:track:6nek1Nin9q48AVZcWs9e9D,0.449,0.585,5.0,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,278719.0,Coldplay - Paradise (Official Video),Coldplay,1665814269.0,8497224.0,343020.0,True,True,927288329.0,Mylo Xyloto,10/19/2011,GBAYE1101143,"2,873",26.0,"1,291,954,163","205,567","85,747,045",77.0,"325,509,002","2,163,945","755,099","119,567,231","1,016,743,063","1,022,465",109.0,"44,631",109,94.0,"850,177",32.0,"486,445,533","445,013",,"8,726,725",,0,439,paradise,permanent wave,2011,140,59,45,-7,8,20,279,5,3,78
60,Linkin Park,in the end,Hybrid Theory (Bonus Edition),album,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3.0,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,In The End [Official HD Music Video] - Linkin Park,Linkin Park,1487186392.0,10183387.0,409471.0,True,True,1444841705.0,Papercuts,4/12/2024,USWB11201322,72,174.8,"2,045,512,421",97,"488,602",,,,,,,,,,,,,2.0,,,,,,0,101,in the end,alternative metal,2000,105,86,56,-6,21,40,217,1,6,83
60,Linkin Park,in the end,Hybrid Theory (Bonus Edition),album,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3.0,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,In The End [Official HD Music Video] - Linkin Park,Linkin Park,1487186392.0,10183387.0,409471.0,True,True,1444841705.0,Hybrid Theory (Bonus Track Version),10/24/2000,USWB10002407,"1,803",34.3,"2,045,512,421","324,745","99,290,558",82.0,"2,375,021,286","17,765,456","522,553","63,993,059","729,532,806","1,256,171,581",16.0,"186,149",357,117.0,"1,481,082",52.0,"832,288,547","304,965","29,420,155","26,145",,0,101,in the end,alternative metal,2000,105,86,56,-6,21,40,217,1,6,83
61,Linkin Park,numb,Meteora,album,spotify:track:2nLtzopw4rPReszdYBJU6h,0.496,0.863,9.0,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,185587.0,Numb [Official Music Video] - Linkin Park,Linkin Park,1928733776.0,12341722.0,550921.0,True,True,1195213410.0,Meteora,3/24/2003,USWB10300474,"2,472",28.7,"1,720,830,668","270,810","75,602,131",80.0,"2,450,982,330","15,462,896","440,206","37,487,815","490,782,499","907,757,737",5.0,"137,302",559,70.0,"907,873",52.0,,,"15,120,261",,,0,263,numb,alternative metal,2003,110,86,50,-4,64,24,186,0,4,81
