Track,Artist,Stream,Views
Feel Good Inc.,Gorillaz,1040234854.0,693555221.0
Rhinestone Eyes,Gorillaz,310083733.0,72011645.0
New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,63063467.0,8435055.0
On Melancholy Hill,Gorillaz,434663559.0,211754952.0
Clint Eastwood,Gorillaz,617259738.0,618480958.0
DARE,Gorillaz,323850327.0,259021161.0
New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,Gorillaz,10666154.0,451996.0
She's My Collar (feat. Kali Uchis),Gorillaz,159605929.0,1010982.0
Cracker Island (feat. Thundercat),Gorillaz,42671901.0,24459820.0
Dirty Harry,Gorillaz,191074713.0,154761056.0
Californication,Red Hot Chili Peppers,1055738398.0,1018811259.0
Under the Bridge,Red Hot Chili Peppers,1061750522.0,246687714.0
Can't Stop,Red Hot Chili Peppers,866464951.0,336635759.0
Scar Tissue,Red Hot Chili Peppers,613838674.0,435121530.0
Otherside,Red Hot Chili Peppers,732774515.0,673528656.0
Snow (Hey Oh),Red Hot Chili Peppers,860722316.0,320871237.0
Dani California,Red Hot Chili Peppers,550067391.0,324228662.0
By the Way,Red Hot Chili Peppers,367485508.0,179005296.0
Give It Away,Red Hot Chili Peppers,301947159.0,86637926.0
Dark Necessities,Red Hot Chili Peppers,385677873.0,440037964.0
In Da Club,50 Cent,1041736808.0,1682616458.0
Candy Shop,50 Cent,,838974650.0
Just A Lil Bit,50 Cent,395155110.0,476133463.0
P.I.M.P.,50 Cent,541728561.0,572659065.0
Many Men (Wish Death),50 Cent,332175400.0,441155628.0
Disco Inferno,50 Cent,202477187.0,39825951.0
21 Questions,50 Cent,446003044.0,503248572.0
Is This Love ('09) (feat. 50 Cent),50 Cent,28529840.0,5289821.0
If I Can't,50 Cent,210473579.0,46096.0
Best Friend - Remix,50 Cent,160037992.0,291023.0
Whiskey In The Jar,Metallica,,107553434.0
Lux Æterna,Metallica,20061385.0,14937918.0
Screaming Suicide,Metallica,3905429.0,4317758.0
Yellow,Coldplay,1483622308.0,832532409.0
Viva La Vida,Coldplay,1325575712.0,789581468.0
Sparks,Coldplay,475353044.0,73201019.0
Something Just Like This,Coldplay,2030825694.0,2118018686.0
The Scientist,Coldplay,1465980600.0,1082588109.0
A Sky Full of Stars,Coldplay,1021782403.0,786404613.0
Paradise,Coldplay,927288329.0,1665814269.0
Hymn for the Weekend,Coldplay,1049654852.0,1828242112.0
My Universe,Coldplay,883224238.0,254655970.0
Fix You,Coldplay,,566239229.0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,844698895.0,32310867.0
One More Time,Daft Punk,471747761.0,432177586.0
Instant Crush (feat. Julian Casablancas),Daft Punk,460589724.0,606828966.0
