Track,Artist,Revenue
Feel Good Inc.,Gorillaz,4639492.51849
Rhinestone Eyes,Gorillaz,1290022.96705
New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,258074.05595
On Melancholy Hill,Gorillaz,1884765.15288
Clint Eastwood,Gorillaz,2895790.8130200002
DARE,Gorillaz,1474125.90909
New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,Gorillaz,42976.49324
She's My Collar (feat. Kali Uchis),Gorillaz,639121.29358
Cracker Island (feat. Thundercat),Gorillaz,187564.8798
Dirty Harry,Gorillaz,871083.9806400001
Californication,Red Hot Chili Peppers,4925933.360710001
Under the Bridge,Red Hot Chili Peppers,4417216.610660001
Can't Stop,Red Hot Chili Peppers,3698138.4777100002
Scar Tissue,Red Hot Chili Peppers,2755588.5516999997
Otherside,Red Hot Chili Peppers,3395832.83264
Snow (Hey Oh),Red Hot Chili Peppers,3664290.4175299997
Dani California,Red Hot Chili Peppers,2423987.34078
By the Way,Red Hot Chili Peppers,1593455.6862400002
Give It Away,Red Hot Chili Peppers,1267568.80494
Dark Necessities,Red Hot Chili Peppers,1846337.6871600002
In Da Club,50 Cent,5327952.588020001
Candy Shop,50 Cent,3383888.0805
Just A Lil Bit,50 Cent,1909152.52947
P.I.M.P.,50 Cent,2562048.99885
Many Men (Wish Death),50 Cent,1633098.98332
Disco Inferno,50 Cent,837388.65419
21 Questions,50 Cent,2131253.69068
Is This Love ('09) (feat. 50 Cent),50 Cent,117769.33649
If I Can't,50 Cent,841926.1222399999
Best Friend - Remix,50 Cent,640352.77387
Whiskey In The Jar,Metallica,1384939.00946
Lux Æterna,Metallica,90552.70342
Screaming Suicide,Metallica,18600.96902
Yellow,Coldplay,6508936.59421
Viva La Vida,Coldplay,5847114.06092
Sparks,Coldplay,1951920.8791099999
Something Just Like This,Coldplay,9584735.66934
The Scientist,Coldplay,6610908.1952100005
A Sky Full of Stars,Coldplay,4629748.79497
Paradise,Coldplay,4858565.16161
Hymn for the Weekend,Coldplay,5460106.46528
My Universe,Coldplay,3708609.5713
Fix You,Coldplay,4851389.29201
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,3401090.07823
One More Time,Daft Punk,2185193.57834
Instant Crush (feat. Julian Casablancas),Daft Punk,2261070.8825399997
