Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Feel Good Inc.,1.1890537655903661,0.3225822232880994,6.0,0.20277380343394882,0.177,0.00836,0.00233,0.613,0.772,0.6067303174510084,222640.0
Rhinestone Eyes,0.3311940353319705,0.31321164142745256,8.0,0.38988866902202496,0.0302,0.0869,0.000687,0.0463,0.852,-0.9411511934540892,200173.0
New Gold (feat. Tame Impala and Bootie Brown),0.44597808374682574,1.3439756460986005,1.0,0.7981195968386032,0.0522,0.0425,0.0469,0.116,0.551,-0.42563006401971537,215150.0
On Melancholy Hill,0.40973048951055546,0.48188211491909505,2.0,0.39097150967936356,0.026,1.51e-05,0.509,0.064,0.578,-0.006230490483286592,233867.0
Clint Eastwood,0.2526575811533849,0.27104402305454195,10.0,-0.21910091666509338,0.171,0.0253,0.0,0.0698,0.525,1.6001891831557213,340920.0
DARE,0.8386603546397539,1.1940463363282516,11.0,0.3818756481577208,0.0372,0.0229,0.0869,0.298,0.966,-0.011604374937496817,245000.0
New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,0.5728446635737717,1.222158081910192,4.0,0.0931903289113025,0.0629,0.012,0.262,0.325,0.358,0.21707299749762912,274142.0
She's My Collar (feat. Kali Uchis),0.6332573206342222,0.8379642256236731,11.0,0.37451233168781967,0.0313,0.00799,0.081,0.112,0.462,0.6607733441320258,209560.0
Cracker Island (feat. Thundercat),0.723876306224898,1.2971227367953666,2.0,0.9258947944045349,0.0465,0.00343,0.103,0.325,0.643,-0.020121474827188013,213750.0
Dirty Harry,0.023089484323673058,1.1284522633037242,10.0,0.0951394420945115,0.162,0.0315,0.0811,0.672,0.865,2.4229342728968186,230426.0
Californication,-0.17627228397581354,0.6130702609681503,9.0,1.0454404029746946,0.027,0.0021,0.00165,0.127,0.328,-0.815354980003965,329733.0
Under the Bridge,-0.37563405227529945,-1.364122511628324,4.0,-1.273571148781231,0.0459,0.0576,0.000105,0.141,0.458,-1.2176189597147051,264307.0
Can't Stop,-0.019199375618642277,1.4142550100534512,9.0,0.9038048449948315,0.0456,0.0179,0.0,0.167,0.875,-0.9852914016125689,269000.0
Scar Tissue,-0.15814848685767838,0.3788057144519802,0.0,0.609055618067318,0.0295,0.0779,0.00274,0.108,0.547,-1.0693132679846828,215907.0
Otherside,-0.9858018885858489,0.7442584070172056,0.0,0.9421374042646109,0.0574,0.00316,0.000202,0.0756,0.513,0.08860674082811783,255373.0
Snow (Hey Oh),-1.1730811254732454,1.2362139547011624,11.0,0.8535610384943295,0.0499,0.116,1.75e-05,0.119,0.599,-0.5391575978668313,334667.0
Dani California,-0.3937578493934346,1.2971227367953666,0.0,1.1381315632428621,0.0437,0.0193,8.59e-06,0.346,0.73,-0.8254605866191149,282160.0
By the Way,-1.0280907485281643,1.5641843198238,0.0,0.5798189203191811,0.107,0.0264,0.00355,0.102,0.198,0.06207529871142067,216933.0
Give It Away,0.27078137827152005,1.4048844281928048,7.0,-0.4989069425213369,0.0476,0.00244,0.086,0.153,0.776,-0.9811680437294643,282907.0
Dark Necessities,0.476184412277051,0.49593798771006525,5.0,0.18155012655011613,0.0716,0.0722,0.0199,0.11,0.197,-0.968257201833186,302000.0
In Da Club,1.69652008489815,0.3928615872429504,6.0,1.0480392205523068,0.347,0.26,0.0,0.0749,0.805,-1.0324734311602242,193467.0
Candy Shop,-0.04336443844282247,-0.29119088858426584,11.0,-0.07486654110761792,0.466,0.0253,3.2e-05,0.38,0.755,0.15431008283430836,209107.0
Just A Lil Bit,-0.7985226516984528,0.26167344119389513,1.0,0.2042897803542227,0.41,0.0322,0.00608,0.315,0.527,-0.7997064988574292,237707.0
P.I.M.P.,0.476184412277051,0.5709026425952397,10.0,0.9969291415259341,0.342,0.0444,1.3e-05,0.0401,0.889,-1.4166216745976523,249467.0
Many Men (Wish Death),0.19224492409293442,0.8895024258572306,6.0,1.014687728306284,0.354,0.0153,0.00146,0.131,0.416,-0.4085282682094621,256227.0
Disco Inferno,1.835469196137186,0.10705884049322337,3.0,0.6177183433260253,0.231,0.206,7.88e-05,0.279,0.71,-0.7972730417460887,214227.0
21 Questions,-0.2729325352725343,0.8004818981810864,6.0,0.8028840957308923,0.317,0.353,0.000363,0.0512,0.908,-1.0340619378856823,224427.0
Is This Love ('09) (feat. 50 Cent),1.4004980653019428,0.6552378793410609,8.0,0.7350982705815081,0.261,0.0714,0.0,0.181,0.659,-0.8983291078975851,212013.0
If I Can't,1.6361074278376997,-0.02412930555583191,11.0,1.1030475259450978,0.302,0.244,0.0,0.0235,0.838,-0.9001204027156555,196640.0
Best Friend - Remix,-0.46021177215993014,0.018038312817078715,10.0,0.8849634175571433,0.308,0.368,0.0,0.111,0.574,2.065925835853923,254493.0
Whiskey In The Jar,-0.6656148061654618,1.5735549016844468,10.0,0.8368852923713181,0.0413,5.36e-06,0.00101,0.19,0.532,0.41783320918321093,304893.0
Lux Æterna,-1.4207730194210921,1.6860018840122084,11.0,1.0081906843622537,0.0754,1.15e-05,0.000836,0.116,0.188,0.33681936618483754,205680.0
Screaming Suicide,-1.1851636568853356,1.5735549016844468,4.0,0.9025054362060253,0.045,2.42e-05,0.0202,0.239,0.282,-0.6584645923533808,330453.0
Yellow,-1.1609985940611554,0.11642942235387017,11.0,0.08409446738965975,0.0281,0.00239,0.000121,0.234,0.285,1.783340628799521,266773.0
Viva La Vida,-0.816646448816588,-0.08972337858035954,5.0,0.10835009811404002,0.0287,0.0954,3.23e-06,0.109,0.417,0.588344197054214,242373.0
Sparks,-1.5113920050117677,-1.7248899132632254,1.0,-0.6260324356928655,0.0281,0.748,0.0517,0.104,0.165,-0.6080379533239382,227093.0
Something Just Like This,-0.025240641324687327,-0.005388141834538298,11.0,0.18328267160185757,0.0317,0.0498,1.44e-05,0.164,0.446,-0.5944511511189543,247160.0
The Scientist,-0.38771658368738954,-0.9096492913869543,5.0,0.08474417178406282,0.0243,0.731,1.46e-05,0.11,0.213,0.8675834005805233,309600.0
A Sky Full of Stars,-0.46021177215993014,0.1820234953783978,6.0,0.2471702703848234,0.0279,0.00617,0.00197,0.209,0.162,0.14744908570094578,267867.0
Paradise,-1.0401732799402543,-0.23965268835070844,5.0,0.18501521665359902,0.0268,0.0509,8.75e-05,0.0833,0.212,0.642961789997632,278719.0
Hymn for the Weekend,-0.7864401202863627,0.2663587321242185,0.0,0.24435488467574357,0.0377,0.211,6.92e-06,0.325,0.412,-1.0335549676541531,258267.0
My Universe,-0.29105633239066947,0.3506939688700398,1.0,0.2917833054671657,0.0406,0.0114,0.0,0.328,0.47,-0.5272944944490469,226198.0
Fix You,-2.490077049391065,-1.0267815646450393,3.0,-0.2435731155209412,0.0338,0.164,0.00196,0.113,0.124,0.5938532735701655,295533.0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,1.0440633886452855,0.81922306190238,6.0,-0.29251751323263686,0.038,0.0426,1.07e-06,0.101,0.862,-0.1541306060280858,248413.0
One More Time,-0.04940570414886752,0.28509989584551215,2.0,-0.21715180348188418,0.133,0.0194,0.0,0.332,0.476,0.07228229937287593,320357.0
Instant Crush (feat. Julian Casablancas),0.9292793402304296,-0.23965268835070844,10.0,-0.41162998553986146,0.0271,0.0422,0.619,0.077,0.518,-0.3604674902604895,337560.0
Get Lucky (feat. Pharrell Williams & Nile Rodgers),1.1407236399420062,0.7348878251565588,6.0,-0.38737435481548116,0.0403,0.0378,1.77e-06,0.072,0.863,-0.15402921198177993,369627.0
Around the World,2.022748433024582,0.7442584070172056,7.0,0.49903900728173617,0.15,0.00356,0.889,0.0906,0.841,0.023207580960844864,429533.0
"Harder, Better, Faster, Stronger",1.183012499884321,0.3741204235216568,6.0,-0.27779088029283466,0.144,0.0427,0.00263,0.358,0.692,0.09688725460976236,224693.0
Something About Us,1.5334059108349338,-0.7550346906862822,9.0,-1.0953355765833297,0.0986,0.44,0.72,0.046,0.384,-0.6979068763663563,232667.0
Lose Yourself to Dance (feat. Pharrell Williams),1.2736314854749966,0.10705884049322337,10.0,-0.04606297962241638,0.057,0.0839,0.00114,0.0753,0.674,-0.6909782832021233,353893.0
Veridis Quo,-0.0977358297972279,0.23824698654227863,9.0,-1.3671285815752692,0.045,0.479,0.949,0.104,0.12,-0.4634162452763617,345187.0
Digital Love,0.13787353273852898,0.1304852951448404,9.0,-0.16950681455899427,0.0332,0.048,0.867,0.342,0.53,0.1392023699347367,301373.0
In the End,-0.3937578493934346,1.06754348120952,3.0,0.37797742179130256,0.0584,0.00958,0.0,0.209,0.4,-0.5226641663344131,216880.0
Numb,-0.7562337917561375,1.0628581902791965,9.0,0.7498249035213106,0.0381,0.0046,0.0,0.639,0.243,-0.35789884108740777,185587.0
What I've Done,0.011006952911582962,1.3767726826108644,5.0,0.5046697786998958,0.0324,0.0141,1.64e-06,0.138,0.287,-0.016505087175612738,205613.0
Numb / Encore,0.39764795809846604,0.7348878251565588,2.0,0.7279515222430748,0.166,0.0603,0.0,0.582,0.751,-0.45838034097650454,205733.0
One Step Closer,-0.7803988545803177,1.5594990288934767,9.0,0.6922177805509074,0.0491,0.0014,1.32e-06,0.0787,0.538,-0.8608809067952917,157333.0
Faint,-0.4058403808055247,1.6016666472663872,4.0,0.8795492142704512,0.131,0.111,0.0,0.0731,0.594,0.4896539919831876,162600.0
Bleed It Out,-0.5568720234566509,1.5501284470328298,1.0,0.859408378043957,0.0508,0.114,0.0,0.61,0.596,0.6597256056535328,166373.0
Papercut,-0.5870783519868762,1.4189403009837744,9.0,0.7842592364246717,0.113,0.00022,0.0,0.623,0.661,0.9996322468861749,184867.0
