Track,Artist,Album,Album_type,Licensed,official_video
Feel Good Inc.,Gorillaz,Demon Days,album,True,True
Rhinestone Eyes,Gorillaz,Plastic Beach,album,True,True
New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),single,True,True
On Melancholy Hill,Gorillaz,Plastic Beach,album,True,True
Clint Eastwood,Gorillaz,Gorillaz,album,True,True
DARE,Gorillaz,Demon Days,album,True,True
New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],single,False,True
She's My Collar (feat. Kali Uchis),Gorillaz,Humanz (Deluxe),album,False,False
Cracker Island (feat. Thundercat),Gorillaz,Cracker Island (feat. Thundercat),single,True,True
Dirty Harry,Gorillaz,Demon Days,album,True,True
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),album,True,True
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),album,True,True
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),album,True,True
Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),album,True,True
Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),album,True,True
Snow (Hey Oh),Red Hot Chili Peppers,Stadium Arcadium,album,True,True
Dani California,Red Hot Chili Peppers,Stadium Arcadium,album,True,True
By the Way,Red Hot Chili Peppers,By the Way (Deluxe Edition),album,True,True
Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),album,True,True
Dark Necessities,Red Hot Chili Peppers,The Getaway,album,True,True
In Da Club,50 Cent,Get Rich Or Die Tryin',album,True,True
Candy Shop,50 Cent,The Massacre,album,True,True
Just A Lil Bit,50 Cent,The Massacre,album,True,True
P.I.M.P.,50 Cent,Get Rich Or Die Tryin',album,True,True
Many Men (Wish Death),50 Cent,Get Rich Or Die Tryin',album,True,True
Disco Inferno,50 Cent,The Massacre,album,True,True
21 Questions,50 Cent,Get Rich Or Die Tryin',album,True,True
Is This Love ('09) (feat. 50 Cent),50 Cent,Curtain Call 2,album,True,True
If I Can't,50 Cent,Get Rich Or Die Tryin',album,False,False
Best Friend - Remix,50 Cent,Best Friend (Remix),single,False,False
Enter Sandman (Remastered),Metallica,Metallica (Remastered),album,True,True
Nothing Else Matters (Remastered),Metallica,Metallica (Remastered),album,True,True
Master of Puppets (Remastered),Metallica,Master of Puppets (Remastered Deluxe Box Set),album,True,True
Whiskey In The Jar,Metallica,"Garage, Inc.",album,False,False
The Unforgiven (Remastered),Metallica,Metallica (Remastered),album,False,False
One (Remastered),Metallica,...And Justice for All (Remastered Deluxe Box Set),album,False,False
For Whom The Bell Tolls (Remastered),Metallica,Ride The Lightning (Deluxe Remaster),album,True,True
Lux Æterna,Metallica,Lux Æterna,single,True,True
Sad But True (Remastered),Metallica,Metallica (Remastered),album,True,True
Screaming Suicide,Metallica,Screaming Suicide,single,True,True
Yellow,Coldplay,Parachutes,album,True,True
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,album,True,True
Sparks,Coldplay,Parachutes,album,True,True
Something Just Like This,Coldplay,Memories...Do Not Open,album,True,True
The Scientist,Coldplay,A Rush of Blood to the Head,album,True,True
A Sky Full of Stars,Coldplay,Ghost Stories,album,True,True
Paradise,Coldplay,Mylo Xyloto,album,True,True
Hymn for the Weekend,Coldplay,A Head Full of Dreams,album,True,True
My Universe,Coldplay,Music Of The Spheres,album,True,True
Fix You,Coldplay,X&Y,album,True,True
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],single,False,False
One More Time,Daft Punk,Discovery,album,True,True
Instant Crush (feat. Julian Casablancas),Daft Punk,Random Access Memories,album,True,True
Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk,Random Access Memories,album,False,False
Around the World,Daft Punk,Homework,album,True,True
"Harder, Better, Faster, Stronger",Daft Punk,Discovery,album,True,True
Something About Us,Daft Punk,Discovery,album,True,True
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,Random Access Memories,album,True,True
Veridis Quo,Daft Punk,Discovery,album,True,True
Digital Love,Daft Punk,Discovery,album,True,True
In the End,Linkin Park,Hybrid Theory (Bonus Edition),album,True,True
Numb,Linkin Park,Meteora,album,True,True
What I've Done,Linkin Park,Minutes to Midnight,album,True,True
Numb / Encore,Linkin Park,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,single,True,True
One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),album,True,True
Faint,Linkin Park,Meteora,album,True,True
Bleed It Out,Linkin Park,Minutes to Midnight,album,True,True
Papercut,Linkin Park,Hybrid Theory (Bonus Edition),album,True,True
Crawling,Linkin Park,Hybrid Theory (Bonus Edition),album,True,True
BURN IT DOWN,Linkin Park,LIVING THINGS,album,True,True
Creep,Radiohead,Pablo Honey,album,True,True
No Surprises,Radiohead,OK Computer,album,True,True
Karma Police,Radiohead,OK Computer,album,True,True
High and Dry,Radiohead,The Bends,album,False,False
Exit Music (For A Film),Radiohead,OK Computer,album,True,True
Weird Fishes/ Arpeggi,Radiohead,In Rainbows,album,False,True
Jigsaw Falling Into Place,Radiohead,In Rainbows,album,True,True
Fake Plastic Trees,Radiohead,The Bends,album,True,True
Just,Radiohead,The Bends,album,True,True
Nude,Radiohead,In Rainbows,album,True,True
Highway to Hell,AC/DC,Highway to Hell,album,True,True
Thunderstruck,AC/DC,The Razors Edge,album,True,True
Back In Black,AC/DC,Back In Black,album,True,True
You Shook Me All Night Long,AC/DC,Back In Black,album,True,True
T.N.T.,AC/DC,High Voltage,album,True,True
Hells Bells,AC/DC,Back In Black,album,True,True
Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,album,True,True
Shoot to Thrill,AC/DC,Back In Black,album,True,True
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,High Voltage,album,False,False
Rock N Roll Train,AC/DC,Black Ice,album,True,True
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),album,True,True
DON'T YOU WORRY,Black Eyed Peas,ELEVATION,album,True,True
Where Is The Love?,Black Eyed Peas,Elephunk,album,True,True
Just Can’t Get Enough,Black Eyed Peas,The Beginning,album,True,True
GIRL LIKE ME,Black Eyed Peas,TRANSLATION,album,True,True
Pump It,Black Eyed Peas,Monkey Business,album,True,True
Pump It Louder,Black Eyed Peas,Pump It Louder,single,True,True
