track,artist,album,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,stream,views,likes,comments,tiktok_views,tiktok_posts,release_date,tiktok_likes
rhinestone eyes,gorillaz,plastic beach,0.676,0.703,8.0,-5.815,0.0302,0.0869,0.000687,0.0463,0.852,92.761,200.173,310083733.0,72011645.0,1079128.0,31003.0,,,,
on melancholy hill,gorillaz,plastic beach,0.689,0.739,2.0,-5.81,0.026,1.51e-05,0.509,0.064,0.578,120.423,233.867,434663559.0,211754952.0,1788577.0,55229.0,,,,
clint eastwood,gorillaz,gorillaz,0.663,0.694,10.0,-8.627,0.171,0.0253,0.0,0.0698,0.525,167.953,340.92,617259738.0,618480958.0,6197318.0,155930.0,,,,
dare,gorillaz,demon days,0.76,0.891,11.0,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,245.0,323850327.0,259021161.0,1844658.0,72008.0,,,,
new gold (feat. tame impala and bootie brown) - dom dolla remix,gorillaz,new gold (feat. tame impala and bootie brown) [dom dolla remix],0.716,0.897,4.0,-7.185,0.0629,0.012,0.262,0.325,0.358,127.03,274.142,10666154.0,451996.0,11686.0,241.0,,,,
she's my collar (feat. kali uchis),gorillaz,humanz (deluxe),0.726,0.815,11.0,-5.886,0.0313,0.00799,0.081,0.112,0.462,140.158,209.56,159605929.0,1010982.0,17675.0,260.0,,,,
dirty harry,gorillaz,demon days,0.625,0.877,10.0,-7.176,0.162,0.0315,0.0811,0.672,0.865,192.296,230.426,191074713.0,154761056.0,1386920.0,39240.0,,,,
under the bridge,red hot chili peppers,blood sugar sex magik (deluxe edition),0.559,0.345,4.0,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,264.307,1061750522.0,246687714.0,1213572.0,32761.0,,,,
can't stop,red hot chili peppers,by the way (deluxe edition),0.618,0.938,9.0,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,269.0,866464951.0,336635759.0,1740224.0,32573.0,,,,
scar tissue,red hot chili peppers,californication (deluxe edition),0.595,0.717,0.0,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,215.907,613838674.0,435121530.0,1890900.0,37069.0,,,,
